index,city_code,city_name,meshcode
0,13108,koto-ku,53392695
1,13108,koto-ku,53393604
2,13108,koto-ku,53393605
3,13108,koto-ku,53393613
4,13108,koto-ku,53393614
5,13108,koto-ku,53393615
6,13108,koto-ku,53393616
7,13108,koto-ku,53393622
8,13108,koto-ku,53393623
9,13108,koto-ku,53393624
10,13108,koto-ku,53393625
11,13108,koto-ku,53393632
12,13108,koto-ku,53393633
13,13108,koto-ku,53393634
14,13108,koto-ku,53393635
15,13108,koto-ku,53393636
16,13108,koto-ku,53393641
17,13108,koto-ku,53393642
18,13108,koto-ku,53393643
19,13108,koto-ku,53393644
20,13108,koto-ku,53393646
21,13108,koto-ku,53393647
22,13108,koto-ku,53393651
23,13108,koto-ku,53393652
24,13108,koto-ku,53393653
25,13108,koto-ku,53393654
26,13108,koto-ku,53393655
27,13108,koto-ku,53393656
28,13108,koto-ku,53393657
29,13108,koto-ku,53393662
30,13108,koto-ku,53393663
31,13108,koto-ku,53393664
32,13108,koto-ku,53393665
33,13108,koto-ku,53393666
34,13108,koto-ku,53393667
35,13108,koto-ku,53393672
36,13108,koto-ku,53393673
37,13108,koto-ku,53393674
38,13108,koto-ku,53393675
39,13108,koto-ku,53393676
40,13108,koto-ku,53393677
41,13108,koto-ku,53393683
42,13108,koto-ku,53393684
43,13108,koto-ku,53393685
44,13108,koto-ku,53393686
45,13108,koto-ku,53393687
46,13108,koto-ku,53393693
47,13108,koto-ku,53393694
48,13108,koto-ku,53393695
49,13108,koto-ku,53393696
50,13108,koto-ku,53393697
51,13108,koto-ku,53394602
52,13108,koto-ku,53394603
53,13108,koto-ku,53394604
54,13108,koto-ku,53394605
55,13108,koto-ku,53394606
56,13108,koto-ku,53394607
57,13108,koto-ku,53394612
58,13108,koto-ku,53394613
59,13108,koto-ku,53394614
60,13108,koto-ku,53394615
61,13108,koto-ku,53394616
62,13108,koto-ku,53394617
63,13108,koto-ku,53394623
64,13108,koto-ku,53394624
65,13108,koto-ku,53394625
66,13108,koto-ku,53394626
67,13108,koto-ku,53394627
68,13108,koto-ku,53394634
69,13108,koto-ku,53394635
70,13108,koto-ku,53394636
71,13108,koto-ku,53394637
72,13108,koto-ku,53394645
73,13108,koto-ku,53394646
74,13108,koto-ku,53394647
